123,Bollinger Grande Annee Brut Champagne,France,"Champagne (3.850451, 49.233237)",Bollinger,Champagne,336.13,1990,Sparkling Wine,4.5,3.625,95.2
124,Bollinger Special Cuvee Brut Ga & Rd 3 Bottles,France,"Champagne (3.850451, 49.233237)",Bollinger,Pinot Noir,234.4,1996,Sparkling Wine,4.5,4.5,94.66666667
125,Domaine des Baumard Coteaux du Layon Carte d'Or,France,"Loire (0.389758, 47.407122)",Domaine des Baumard,Chenin Blanc,29.99,2005,Dessert/Fortified,4,4.5,91.25
126,Domaine de Bellivière Coteaux du Loir Le Rouge-Gorge,France,"Loire (0.389758, 47.407122)",Domaine de Bellivière,Pineau d'Aunis,18.37,2004,Red Wine,3.5,3.5,89
127,Chateauneuf du Pape Barbe Rac Grande Cuvee M. Chapoutier Trocken Frankreich Rhône /Td Châteauneuf-du-Pape M. Chapoutier,France,"Rhône (4.905138, 45.152446)",M. Chapoutier,Syrah,199.97,2004,Red Wine,4,3.666666667,93.33333333
129,Guigal E. Crozes-Hermitage,France,"Rhône (4.905138, 45.152446)",E. Guigal,Grenache,21.99,2009,White Wine,3.5,3.666666667,92
130,Cave de Tain Crozes-Hermitage White,France,"Rhône (4.905138, 45.152446)",Cave de Tain,Marsanne,18.99,2009,White Wine,4,3.5,90
131,Cave de Tain l'Hermitage Crozes-Hermitage les Hauts du Fief,France,"Rhône (4.905138, 45.152446)",Cave de Tain,Syrah,29.99,2006,Red Wine,3.5,3.333333333,90
132,Delas Frères Syrah Crozes-Hermitage les Launes,France,"Rhône (4.905138, 45.152446)",Delas Frères,Syrah,120.35,1999,White Wine,3.5,4.75,92
133,Delas Freres Crozes Hermitage 'Les Launes',France,"Rhône (4.905138, 45.152446)",Delas Frères,Syrah,20.69,2009,Red Wine,3.5,3.5,91
134,Jean-Luc Colombo Syrah Vin de Pays d'Oc la Violette,France,"Rhône (4.905138, 45.152446)",Jean-Luc Colombo,Syrah,93.79,2006,Red Wine,3.5,4.5,91
135,E. Guigal White Rhone Blend Côtes du Rhône Blanc,France,"Rhône (4.905138, 45.152446)",E. Guigal,Grenache,359.95,2004,White Wine,4,3.5,92.8
137,Chateau Bonnet,France,"Bordeaux (-0.434217, 44.966195)",André Lurton,Sémillon,13.99,2008,Red Wine,3,3.25,87
138,Chateau Bonnet Entre-Deux-Mers,France,"Bordeaux (-0.434217, 44.966195)",André Lurton,Bordeaux Blend,15.99,2010,Red Wine,3.5,4,86
139,Château Bonnet Entre-Deux-Mers Blanc,France,"Bordeaux (-0.434217, 44.966195)",André Lurton,Sémillon,91.89,2003,White Wine,2.5,1.75,86
140,Domaine Maria Fita Fitou,France,"Languedoc-Roussillon (3.234202, 43.537080)",Domaine Maria Fita,Rhône Blend,23.99,2002,Red Wine,3.5,3.5,88
136,Blanc Crozes-Hermitage 'Petite Ruche' Aoc Mo M. Chapoutier Tain Frankreich Côtes du Rhône Septentrionale Chapoutier Michel,France,"Rhône (4.905138, 45.152446)",M. Chapoutier,Rhône Blend,169.99,2005,Red Wine,3.5,3.388888889,90
141,Fleurie Aoc,France,"Burgundy (4.828234, 46.839000)",Georges Duboeuf,Gamay,15.39,2008,Red Wine,3,2.857142857,90
142,Henry Fessy Fleurie Gamay Burgundy France,France,"Burgundy (4.828234, 46.839000)",Henry Fessy,Gamay,16.99,2009,Red Wine,3.5,2.9,91
143,J. Vidal-Fleury Red Rhone Blend Côtes du Rhône,France,"Rhône (4.905138, 45.152446)",J. Vidal-Fleury,Rhône Blend,9.99,2006,Red Wine,3.5,2.944444444,83
144,Coudert Fleurie Clos de la Roilette,France,"Burgundy (4.828234, 46.839000)",Coudert,Gamay,21,2003,Red Wine,3.5,3.25,91
145,Vidal-Fleury Cotes-du-Rhone,France,"Rhône (4.905138, 45.152446)",J. Vidal-Fleury,Rhône Blend,12.99,1999,Red Wine,3,3.5,86
146,Château Fontenil Red Bordeaux Blend Fronsac,France,"Bordeaux (-0.434217, 44.966195)",Château Fontenil,Merlot,40.16,2000,Red Wine,4,3.75,91
147,Château la Vieille Cure Red Bordeaux Blend Fronsac,France,"Bordeaux (-0.434217, 44.966195)",Château La Vieille Cure,Bordeaux Blend,31.91,2004,Red Wine,3.5,3.875,90
148,Château la Vieille Cure Red Bordeaux Blend Fronsac,France,"Bordeaux (-0.434217, 44.966195)",Château La Vieille Cure,Bordeaux Blend,44.95,2003,Red Wine,4,2.875,92
149,Vignerons de Caractère Gigondas Nectar du Terroir,France,"Rhône (4.905138, 45.152446)",Vignerons de Caractere,Grenache,27.08,2004,Red Wine,3,2.5,86
150,E. Guigal Red Rhone Blend Gigondas,France,"Rhône (4.905138, 45.152446)",E. Guigal,Grenache,14.99,2005,Red Wine,3.5,3.307692308,88.33333333
151,St. Cosme Gigondas Valbelle,France,"Rhône (4.905138, 45.152446)",Château de Saint-Cosme,Marsanne,54.99,2006,Red Wine,4,3.857142857,91.33333333
152,Château de Saint-Cosme Gigondas Valbelle,France,"Rhône (4.905138, 45.152446)",Château de Saint-Cosme,Grenache,87.5,2007,Red Wine,3.5,3.5,100
154,Louis Bernard Red Rhone Blend Côtes du Luberon,France,"Rhône (4.905138, 45.152446)",Louis Bernard,Rhône Blend,38.99,2009,Red Wine,3.5,3.5,88
